Cliente [cód];Venda anual;Últim venda;Família
A.R COMERCIO DE EMBALAGENS LTDA [65360];38;09/01/2025 00:00;_ASD
A.R COMERCIO DE EMBALAGENS LTDA [65360];44.035.999.999.999.900;08/07/2025 00:00;IATD
A.R COMERCIO DE EMBALAGENS LTDA [65360];18.285.100.000.000.000;09/09/2025 00:00;PSeI
A2P INDUSTRIA DE MOVEIS LTDA [26232];179.96;11/02/2019 00:00;_ASD
A2P INDUSTRIA DE MOVEIS LTDA [26232];631.8;13/11/2015 00:00;IATD
A3 COMERCIO E INSTALACOES LTDA [66158];1399.5;29/04/2025 00:00;ELET
A3 COMERCIO E INSTALACOES LTDA [66158];124;29/04/2025 00:00;IATD
A4 GRAFICA E EDITORA LTDA. [28556];51.81;09/04/2014 00:00;_OUT
A4 GRAFICA E EDITORA LTDA. [28556];0.1;09/04/2014 00:00;_PVC
A4 GRAFICA E EDITORA LTDA. [28556];8.770.400.000.000.000;09/04/2014 00:00;IATD
AA COM VIDROS E MANUTENCOES LTDA [45160];5;18/03/2022 00:00;_EPI
AA COM VIDROS E MANUTENCOES LTDA [45160];18.742.000.000.000.000;27/04/2023 00:00;IATD
AA COM VIDROS E MANUTENCOES LTDA [45160];93.68;24/03/2022 00:00;PSeI
AA COM VIDROS E MANUTENCOES LTDA [45160];90;20/10/2021 00:00;SATW
AA COM VIDROS E MANUTENCOES LTDA [45160];63.27;27/04/2023 00:00;SIKA
AAA ROLESS COM ASSIST TECN DE RELOGIOS PONTO LTDA [44373];14;10/05/2016 00:00;ELET
AAA ROLESS COM ASSIST TECN DE RELOGIOS PONTO LTDA [44373];143;07/10/2020 00:00;IATD
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231];40.16;16/06/2025 00:00;IATD
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231];37.44;16/06/2025 00:00;PAPE
AB VIA CERTA TRANSPORTE & TURISMO LTDA [56231];7.5;16/06/2025 00:00;REFL
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093];214.95;22/11/2024 00:00;_OUT
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093];3.982.031.999.999.990;03/09/2025 00:00;IATD
ABAKAM INDU E COM DE ETIQUETAS E PLACAS LTDA [29093];346;29/05/2025 00:00;PSeI
ABASTECEDORA DE COMBUSTIVEIS FAGUNDES LTDA [45151];7.830.000.000.000.000;22/10/2015 00:00;IATD
ABASTESUL DISTRIBUIDORA DE ALIMENTOS LTDA [61257];26350.01;09/05/2022 00:00;IATD
ABC LETRAS PLACAS E LUMINOSOS LTDA - ME [48657];105.69;08/08/2022 00:00;IATD
ABEIJON & SILVA LTDA [59856];41.730.000.000.000.000;18/01/2022 00:00;ELET
ABEIJON & SILVA LTDA [59856];38.241.400.000.000.000;25/10/2022 00:00;IATD
ABEL DA SILVA BELLO [52403];50;30/05/2018 00:00;_OUT
ABEL DA SILVA BELLO [52403];122.19;03/09/2021 00:00;IATD
ABILIO GONSALVES COSTA [36574];4.32;02/05/2013 00:00;PSeI
ABK COMERCIO DE BRINDES LTDA [59713];620.28;11/11/2024 00:00;IATD
ABK COMERCIO DE BRINDES LTDA [59713];3530.38;11/11/2024 00:00;PSeI
ABM METALURGICA E JATEAMENTO LTDA - ME [45535];48.54;26/10/2015 00:00;_EPI
ABM METALURGICA E JATEAMENTO LTDA - ME [45535];91.9;26/10/2015 00:00;IATD
ABNER DA ROSA MARTINS [37696];198;09/08/2013 00:00;IATD
ABRASCUT COMERCIO DE ABRASIVOS LTDA [25118];856;18/07/2022 00:00;_ASD
ABRASCUT COMERCIO DE ABRASIVOS LTDA [25118];558;21/05/2019 00:00;IATD
ABRASSER FERRAMENTAS LTDA. [27542];8626.1;28/08/2025 00:00;_ABR
ABRASSER FERRAMENTAS LTDA. [27542];1229.7;30/11/2023 00:00;_ASD
ABRASSER FERRAMENTAS LTDA. [27542];170;27/09/2018 00:00;_CFM
ABRASSER FERRAMENTAS LTDA. [27542];228;04/01/2013 00:00;_EPI
ABRASSER FERRAMENTAS LTDA. [27542];7684.1;29/09/2015 00:00;_OUT
ABRASSER FERRAMENTAS LTDA. [27542];243.7;29/03/2022 00:00;AUTO
ABRASSER FERRAMENTAS LTDA. [27542];1444.4;15/02/2023 00:00;ELET
ABRASSER FERRAMENTAS LTDA. [27542];1843.74;04/09/2024 00:00;IATD
ABRASSER FERRAMENTAS LTDA. [27542];6689.4;12/06/2024 00:00;PSeI
ABRASSER FERRAMENTAS LTDA. [27542];235.2;23/06/2025 00:00;REFL
ABRASSER FERRAMENTAS LTDA. [27542];2050;16/02/2018 00:00;SATW
ABRASSER FERRAMENTAS LTDA. [27542];661.2;02/06/2023 00:00;SIKA
ABSOLUTE REPRESENTACOES COMERCIAIS LTDA [50689];77;04/10/2017 00:00;IATD
ABT COMERCIAL ELETRICA LTDA [53921];480;11/03/2024 00:00;ELET
ABT COMERCIAL ELETRICA LTDA [53921];575;30/05/2019 00:00;IATD
ACACIA MOVEIS E DECORACOES LTDA [42829];6.75;13/01/2015 00:00;FELT
ACADEMIA BIO ALEGRETE LTDA - ME [49282];388.88;22/03/2017 00:00;IATD
ACCEL COMERCIAL ELETRICA LTDA [57298];124;03/06/2024 00:00;_OUT
ACCEL COMERCIAL ELETRICA LTDA [57298];441.63;06/07/2022 00:00;ELET
ACCEL COMERCIAL ELETRICA LTDA [57298];567.69;22/05/2025 00:00;IATD
ACCEL COMERCIAL ELETRICA LTDA [57298];43.2;03/10/2022 00:00;SATW
ACG FILTROS LTDA - ME [35254];40.67;27/09/2021 00:00;_ASD
ACG FILTROS LTDA - ME [35254];88.92;22/03/2022 00:00;_OUT
ACG FILTROS LTDA - ME [35254];12;27/09/2021 00:00;ELET
ACG FILTROS LTDA - ME [35254];102.1;22/03/2022 00:00;IATD
ACG FILTROS LTDA - ME [35254];86.07;22/03/2022 00:00;PAPE
ACG FILTROS LTDA - ME [35254];10.675.999.999.999.900;27/09/2021 00:00;PSeI
ACHYLLES COSTA NETO [35667];24;08/02/2013 00:00;IATD
ACIONAMENTOS SPITTI EQUIPAMENTOS LTDA [43173];794.88;18/02/2021 00:00;PSeI
ACK GROUP ESQUADRIAS PREMIUM LTDA  [66798];325.28;26/03/2025 00:00;ELET
ACO PECAS OLIVEIRA USINAGEM LTDA - ME [48385];3;11/11/2020 00:00;_ASD
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649];4;14/10/2021 00:00;_ASD
ACODUTO COMERCIO IMPORTACAO E EXPORTACAO LTDA [60649];25828.8;03/10/2022 00:00;ELET
